searched_term,matched_term,definition,synonyms,ontology_acronym,ontology_name,last_updated,has_child,URL
eyeball,eyeball of camera-type eye,['The camera-type eye apart from its appendages/adnexa.'],"['eye globe', 'bulbus oculi', 'eyeball', 'globe', 'eye']",CCONT,Cell Culture Ontology,2014-07-23,False,http://purl.obolibrary.org/obo/UBERON_0010230
eyeball,NA,['The core globe-shaped component of the camera-type eye.'],"['eye globe', 'bulbus oculi', 'eyeball', 'globe', 'eye']",NBO,Neuro Behavior Ontology,2014-12-05,False,http://purl.obolibrary.org/obo/UBERON_0010230
eyeball,eyeball of camera-type eye,['The core globe-shaped component of the camera-type eye.'],"['eye globe', 'bulbus oculi', 'eyeball', 'globe', 'eye']",OAE,Ontology of Adverse Events,2017-05-24,False,http://purl.obolibrary.org/obo/UBERON_0010230
eyeball,eyeball of camera-type eye,['The core globe-shaped component of the camera-type eye.'],"['eye globe', 'bulbus oculi', 'eyeball', 'globe', 'eye']",GO-PLUS,go-plus,2017-06-12,False,http://purl.obolibrary.org/obo/UBERON_0010230
eyeball,eye,['The organ of sight or vision.\n\nsource: http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Eye'],"['Ophthalmic', 'Optic', 'Special Sense Organ', 'Ocular', 'Eyeball', 'eyes']",HUPSON,Human Physiology Simulation Ontology,2014-04-07,False,http://sig.uw.edu/fma#Eye
eyeball,eyeball of camera-type eye,['The core globe-shaped component of the camera-type eye.'],"['eye globe', 'bulbus oculi', 'eyeball', 'globe', 'eye']",OCMR,Ontology of Chinese Medicine for Rheumatism,2017-04-20,False,http://purl.obolibrary.org/obo/UBERON_0010230
eyeball,eyeball of camera-type eye,['The core globe-shaped component of the camera-type eye.'],"['eye globe', 'bulbus oculi', 'eyeball', 'globe', 'eye']",CHEAR,Children's Health Exposure Analysis Resource,2017-05-24,False,http://purl.obolibrary.org/obo/UBERON_0010230
eyeball,Eyeball avulsion,NA,NA,MEDDRA,Medical Dictionary for Regulatory Activities,2017-02-06,False,http://purl.bioontology.org/ontology/MEDDRA/10015971
eyeball,Eyeball rupture,NA,NA,MEDDRA,Medical Dictionary for Regulatory Activities,2017-02-06,False,http://purl.bioontology.org/ontology/MEDDRA/10015973
eyeball,Eyeball itching,NA,NA,MEDDRA,Medical Dictionary for Regulatory Activities,2017-02-06,False,http://purl.bioontology.org/ontology/MEDDRA/10015972
eyeball,Eyeball soreness,NA,NA,MEDDRA,Medical Dictionary for Regulatory Activities,2017-02-06,False,http://purl.bioontology.org/ontology/MEDDRA/10015974
eyeball,Eyeball present,NA,['Eyeball present (finding)'],SNOMEDCT,SNOMED CT,2017-02-06,False,http://purl.bioontology.org/ontology/SNOMEDCT/301917001
eyeball,Absent eyeball,NA,['Absent eyeball (finding)'],SNOMEDCT,SNOMED CT,2017-02-06,False,http://purl.bioontology.org/ontology/SNOMEDCT/246916009
eyeball,Eyeball structure,NA,NA,RCD,"Read Codes, Clinical Terms Version 3 (CTV3) ",2017-02-06,True,http://purl.bioontology.org/ontology/RCD/Xa1S4
eyeball,Eyeball present,NA,NA,RCD,"Read Codes, Clinical Terms Version 3 (CTV3) ",2017-02-06,False,http://purl.bioontology.org/ontology/RCD/Xa885
eyeball,Absent eyeball,NA,NA,RCD,"Read Codes, Clinical Terms Version 3 (CTV3) ",2017-02-06,False,http://purl.bioontology.org/ontology/RCD/X75hF
eyeball,Cystic eyeball,NA,NA,ICD10CM,"International Classification of Diseases, Version 10 - Clinical Modification",2017-02-06,False,http://purl.bioontology.org/ontology/ICD10CM/Q11.0
eyeball,Cystic eyeball,NA,NA,ICD10,"International Classification of Diseases, Version 10",2017-02-06,False,http://purl.bioontology.org/ontology/ICD10/Q11.0
eyeball,Embryonic eyeball,NA,NA,FMA,Foundational Model of Anatomy,2017-04-01,False,http://purl.org/sig/ont/fma/fma313195
eyeball,Fetal eyeball,NA,NA,FMA,Foundational Model of Anatomy,2017-04-01,False,http://purl.org/sig/ont/fma/fma305958
eyeball,Left eyeball,NA,NA,ROO,Radiation Oncology Ontology,2015-07-17,False,http://purl.org/sig/ont/fma/fma12515
eyeball,Right eyeball,NA,NA,ROO,Radiation Oncology Ontology,2015-07-17,False,http://purl.org/sig/ont/fma/fma12514
eyeball,Cystic eyeball,NA,NA,NLMVS,NIH NLM Value Sets,2015-07-10,False,http://purl.bioontology.org/ontology/ICD10CM/Q11.0
eyeball,Left eyeball,NA,NA,BIOMODELS,BioModels Ontology,2012-04-03,False,http://purl.org/obo/owlapi/fma#FMA_12515
eyeball,Right eyeball,NA,NA,BIOMODELS,BioModels Ontology,2012-04-03,False,http://purl.org/obo/owlapi/fma#FMA_12514
eyeball,Eyeball disease,['Any disease of the eyeball.'],"['Disease of eyeball', '眼球疾患', 'Eye disorder', 'Disorder of eyeball']",PDO,Pathogenic Disease Ontology,2016-03-31,True,http://purl.jp/bio/11/pdo/PDO_000038
eyeball,"Contusion, eyeball",NA,NA,RCTV2,Read Clinical Terminology Version 2,2016-04-08,False,http://purl.bioontology.org/ontology/RCTV2/SE13.00
eyeball,Embryonic eyeball,NA,NA,OCDM,Ontology of Craniofacial Development and Malformation,2017-03-23,False,http://purl.org/sig/ont/fma/fma313195
eyeball,Right eyeball,NA,NA,OCDM,Ontology of Craniofacial Development and Malformation,2017-03-23,False,http://purl.org/sig/ont/fma/fma12514
eyeball,Fetal eyeball,NA,NA,OCDM,Ontology of Craniofacial Development and Malformation,2017-03-23,False,http://purl.org/sig/ont/fma/fma305958
eyeball,Pathological eyeball,NA,NA,OCDM,Ontology of Craniofacial Development and Malformation,2017-03-23,False,http://purl.org/sig/ont/chmo/chmo0000247
eyeball,Left eyeball,NA,NA,OCDM,Ontology of Craniofacial Development and Malformation,2017-03-23,False,http://purl.org/sig/ont/fma/fma12515
nose,Nose,"['A part of the upper respiratory tract. It contains the organ of SMELL. The term includes the external nose, the nasal cavity, and the PARANASAL SINUSES.', 'Its major components are NASAL BONES; NASAL CARTILAGES; and NASAL SEPTUM.']","['External Nose', 'External Noses', 'Noses', 'Noses, External', 'Nose, External']",MESH,Medical Subject Headings,2017-02-06,True,http://purl.bioontology.org/ontology/MESH/D009666
nose,Nose,['A structure of special sense serving as an organ of the sense of smell and as an entrance to the respiratory tract.'],NA,NCIT,National Cancer Institute Thesaurus,2017-04-10,False,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12756
nose,Nose,NA,NA,RCD,"Read Codes, Clinical Terms Version 3 (CTV3) ",2017-02-06,False,http://purl.bioontology.org/ontology/RCD/7N20.
nose,Nose,"['Subdivision of face which consists of skeletal system of nose, all layers superficial to it (integument, mucosa, muscle, connective tissue) and nasal cavity.']",NA,FMA,Foundational Model of Anatomy,2017-04-01,False,http://purl.org/sig/ont/fma/fma46472
nose,Nose,NA,NA,OMIM,Online Mendelian Inheritance in Man,2017-02-06,True,http://purl.bioontology.org/ontology/OMIM/MTHU000119
nose,nose,"['specialized structure that serves as an organ of the sense of smell as well as part of the respiratory system; the term includes the external structure, through the nasal cavity, sinuses and up to the nasopharynx.']","['nasal', 'upper respiratory tract']",CRISP,Computer Retrieval of Information on Scientific Projects Thesaurus,2017-02-06,True,http://purl.bioontology.org/ontology/CSP/1996-0769
nose,nose,['A specialized structure that serves as an organ of the sense of smell as well as part of the respiratory system; the term includes both the external nose and the nasal cavity. [MeSH]'],['Nase'],RADLEX,Radiology Lexicon,2016-11-16,False,http://www.radlex.org/RID/#RID10029
nose,nose,"['1a: The part of the face that bears the nostrils and covers the anterior part of the nasal cavity; broadly: this part together with the nasal cavity. 1b: The anterior part of the head at the top or end of the muzzle: snout, proboscis. 2: The vertebrate olfactory organ.']",NA,BTO,BRENDA Tissue and Enzyme Source Ontology,2016-08-23,True,http://purl.obolibrary.org/obo/BTO_0000840
nose,nose,"['The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity.']","['nose', 'peripheral olfactory organ', 'nasal sac', 'olfactory apparatus', 'proboscis', 'nasus']",CL,Cell Ontology,2017-04-14,False,http://purl.obolibrary.org/obo/UBERON_0000004
nose,nose,NA,NA,NIFSTD,Neuroscience Information Framework (NIF) Standard Ontology,2016-02-13,False,http://purl.bioontology.org/NEMO/ontology/NEMO.owl#NEMO_6036000
nose,nose,"['The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity.']","['nose', 'peripheral olfactory organ', 'nasal sac', 'olfactory apparatus', 'proboscis', 'nasus']",NIFSTD,Neuroscience Information Framework (NIF) Standard Ontology,2016-02-13,False,http://purl.obolibrary.org/obo/UBERON_0000004
nose,Nose,NA,NA,RH-MESH,Robert Hoehndorf Version of MeSH,2014-04-21,True,http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009666
nose,Nose,NA,NA,RH-MESH,Robert Hoehndorf Version of MeSH,2014-04-21,True,http://phenomebrowser.net/ontologies/mesh/mesh.owl#A01.456.505.733
nose,Nose,NA,NA,RH-MESH,Robert Hoehndorf Version of MeSH,2014-04-21,True,http://phenomebrowser.net/ontologies/mesh/mesh.owl#A09.531
nose,Nose,NA,NA,RH-MESH,Robert Hoehndorf Version of MeSH,2014-04-21,True,http://phenomebrowser.net/ontologies/mesh/mesh.owl#A04.531
nose,Nose,NA,NA,APAONTO,Psychology Ontology,2014-11-02,False,http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Nose
nose,Nose,NA,NA,GALEN,Galen Ontology,2007-01-16,False,http://www.co-ode.org/ontologies/galen#Nose
nose,nose,"['The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity.']","['nose', 'peripheral olfactory organ', 'nasal sac', 'olfactory apparatus', 'proboscis', 'nasus']",NBO,Neuro Behavior Ontology,2014-12-05,False,http://purl.obolibrary.org/obo/UBERON_0000004
nose,NOSE,NA,NA,DERMLEX,Dermatology Lexicon,2009-04-17,True,http://www.owl-ontologies.com/unnamed.owl#RID13506
nose,nose,['The nose is...'],NA,NEMO,Neural ElectroMagnetic Ontology,2013-10-21,False,http://purl.bioontology.org/NEMO/ontology/NEMO.owl#NEMO_6036000
nose,nose,"['The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity.']","['nose', 'peripheral olfactory organ', 'nasal sac', 'olfactory apparatus', 'proboscis', 'nasus']",OAE,Ontology of Adverse Events,2017-05-24,False,http://purl.obolibrary.org/obo/UBERON_0000004
nose,Nose,NA,NA,CSEO,Cigarette Smoke Exposure Ontology,2014-07-10,False,http://scai.fraunhofer.de/CSEO#Nose
nose,Nose,NA,NA,BIOMODELS,BioModels Ontology,2012-04-03,False,http://purl.org/obo/owlapi/fma#FMA_46472
nose,Nose,"['*Subdivision of face which consists of the nasal skeleton, nasal septum and nasal cavity.', '.. A boundary class ..']",NA,SDO,Sleep Domain Ontology,2015-06-23,False,http://purl.org/obo/owl/FMA#FMA_46472
nose,Nose,"['*Subdivision of face which consists of the nasal skeleton, nasal septum and nasal cavity.', 'TO DO']",NA,ONTONEO,Obstetric and Neonatal Ontology,2017-03-04,False,http://purl.obolibrary.org/obo/FMA_46472
nose,Nose,NA,NA,MCCL,Cell Line Ontology [by Mahadevan],2014-08-04,True,http://www.semanticweb.org/pallabi.d/ontologies/2014/2/untitled-ontology-11#Nose
nose,Nose,NA,NA,ICNP,International Classification for Nursing Practice,2015-09-16,False,http://www.icn.ch/icnp#Nose
nose,Nose,NA,NA,SYN,Sage Bionetworks Synapse Ontology,2013-01-07,False,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nose
nose,Nose,NA,NA,MEO,Metagenome and Microbes Environmental Ontology,2014-02-01,False,http://purl.jp/bio/11/meo/MEO_0000496
nose,Nose,NA,NA,PEDTERM,Pediatric Terminology,2013-01-25,False,http://www.owl-ontologies.com/Ontology1358660052.owl#Nose
nose,Nose,['HEAD AND NECK: Nose'],NA,IFAR,Fanconi Anemia Ontology,2014-02-18,True,http://www.semanticweb.org/ontologies/2012/11/abnormalities.owl#phenodb:0494
nose,nose,NA,"['nostril', 'olfactory pits', 'olfactory system', 'chemosensory sensory organ']",MAT,Minimal Anatomical Terminology,2015-08-20,False,http://purl.obolibrary.org/obo/MAT_0000139
nose,nose,NA,NA,EHDA,"Human Developmental Anatomy Ontology, timed version",2011-02-15,True,http://purl.obolibrary.org/obo/EHDA_2135
nose,nose,NA,NA,EHDA,"Human Developmental Anatomy Ontology, timed version",2011-02-15,True,http://purl.obolibrary.org/obo/EHDA_10239
nose,nose,NA,NA,EHDA,"Human Developmental Anatomy Ontology, timed version",2011-02-15,True,http://purl.obolibrary.org/obo/EHDA_4769
nose,nose,NA,NA,EHDA,"Human Developmental Anatomy Ontology, timed version",2011-02-15,True,http://purl.obolibrary.org/obo/EHDA_6800
nose,nose,NA,NA,EHDA,"Human Developmental Anatomy Ontology, timed version",2011-02-15,True,http://purl.obolibrary.org/obo/EHDA_2927
nose,nose,NA,NA,EHDA,"Human Developmental Anatomy Ontology, timed version",2011-02-15,True,http://purl.obolibrary.org/obo/EHDA_9082
nose,nose,NA,NA,EHDA,"Human Developmental Anatomy Ontology, timed version",2011-02-15,True,http://purl.obolibrary.org/obo/EHDA_5731
nose,nose,NA,NA,EHDA,"Human Developmental Anatomy Ontology, timed version",2011-02-15,True,http://purl.obolibrary.org/obo/EHDA_7838
nose,nose,NA,NA,EHDA,"Human Developmental Anatomy Ontology, timed version",2011-02-15,True,http://purl.obolibrary.org/obo/EHDA_1503
nose,nose,NA,NA,EHDA,"Human Developmental Anatomy Ontology, timed version",2011-02-15,True,http://purl.obolibrary.org/obo/EHDA_3822
nose,nose,NA,NA,HPIO,Host Pathogen Interactions Ontology,2011-02-08,False,http://www.semanticweb.org/ontologies/2010/5/22/Ontology1277229984000.owl#HPI:0000045
nose,nose,NA,NA,EHDAA,"Human Developmental Anatomy Ontology, abstract version 1",2011-02-15,True,http://purl.obolibrary.org/obo/EHDAA_1502
nose,nose,NA,NA,ONTOPNEUMO,Ontology of Pneumology,2012-12-04,False,http://doe-generated-ontology.com/OntoPneumo#Nez
nose,nose,['The extreme anterior portion of the body.'],NA,WB-BT,C. elegans Gross Anatomy Vocabulary,2016-06-28,False,http://purl.obolibrary.org/obo/WBbt_0008426
nose,nose,"['The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity.']","['nose', 'peripheral olfactory organ', 'nasal sac', 'olfactory apparatus', 'proboscis', 'nasus']",OVAE,Ontology of Vaccine Adverse Events,2016-05-14,False,http://purl.obolibrary.org/obo/UBERON_0000004
nose,nose,"['The olfactory organ of vertebrates, consisting of nares, olfactory epithelia and the structures and skeletal framework of the nasal cavity.']","['nose', 'peripheral olfactory organ', 'nasal sac', 'olfactory apparatus', 'proboscis', 'nasus']",OCVDAE,Ontology of Cardiovascular Drug Adverse Events,2016-12-29,False,http://purl.obolibrary.org/obo/UBERON_0000004
nose,nose,NA,NA,EHDAA2,"Human Developmental Anatomy Ontology, abstract version 2",2015-08-20,True,http://purl.obolibrary.org/obo/EHDAA2_0001274
nose,Nose,NA,NA,OCDM,Ontology of Craniofacial Development and Malformation,2017-03-23,False,http://purl.org/sig/ont/fma/fma46472
mouth,Mouth,"['Part of the oral cavity bounded laterally and ventrally by the alveolar arches and their contained TEETH. Its roof is formed by the PALATE and it communicates posteriorly with the OROPHARYNX.', 'Slitlike space in the ORAL CAVITY, bounded externally by the LIPS and CHEEK, and internally by the GINGIVA and TEETH.', 'The oval-shaped oral cavity located at the apex of the digestive tract and consisting of two parts: the vestibule and the oral cavity proper.']","['Cavitas oris propria', 'Oral Cavity Proper', 'Vestibule of the Mouth', 'Vestibule Oris', 'Oral Cavity', 'Cavity, Oral', 'Cavitas Oris', 'Mouth Cavity Proper']",MESH,Medical Subject Headings,2017-02-06,True,http://purl.bioontology.org/ontology/MESH/D009055
mouth,Mouth,NA,['Oral cavity'],RCD,"Read Codes, Clinical Terms Version 3 (CTV3) ",2017-02-06,False,http://purl.bioontology.org/ontology/RCD/7N23.
mouth,Mouth,NA,"['Oral region', 'Oral part of face']",FMA,Foundational Model of Anatomy,2017-04-01,False,http://purl.org/sig/ont/fma/fma49184
mouth,Mouth,NA,NA,OMIM,Online Mendelian Inheritance in Man,2017-02-06,True,http://purl.bioontology.org/ontology/OMIM/MTHU000122
mouth,mouth,['oval shaped oral cavity located at the apex of the digestive tract.'],"['cheek', 'bucca']",CRISP,Computer Retrieval of Information on Scientific Projects Thesaurus,2017-02-06,True,http://purl.bioontology.org/ontology/CSP/2139-1459
mouth,mouth,['The oval-shaped oral cavity located at the apex of the digestive tract and consisting of two parts: the vestibule and the oral cavity proper. [MeSH]'],['Mund'],RADLEX,Radiology Lexicon,2016-11-16,False,http://www.radlex.org/RID/#RID9922
mouth,mouth,"['The natural opening through which food passes into the body of an animal and which in vertebrates is typically bounded externally by the lips and internally by the pharynx and encloses the tongue, gums, and teeth.']","['cavitas oris', 'rima oris', 'oral vestibule', 'vestibule of mouth', 'vestibulum oris', 'oral cavity', 'oral fissure', 'mouth cavity', 'cavum oris', 'buccal cavity']",BTO,BRENDA Tissue and Enzyme Source Ontology,2016-08-23,True,http://purl.obolibrary.org/obo/BTO_0001090
mouth,mouth,"['The exit or point of discharge of a stream into another stream, lake or sea.']","['MOUTH', 'outlet']",ENVO,Environment Ontology,2017-05-10,True,http://purl.obolibrary.org/obo/ENVO_00000479
mouth,mouth,"['The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening. In vertebrates, this extends to the pharynx and includes gums, lips, tongue and parts of the palate. Typically also includes the teeth, except where these occur elsewhere (e.g. pharyngeal jaws) or protrude from the mouth (tusks).']","['regio oralis', 'adult mouth', 'stoma', 'cavitas oris', 'rima oris', 'cavital oralis', 'stomatodaeum', 'trophic apparatus', 'oral vestibule', 'vestibule of mouth', 'vestibulum oris', 'mouth cavity', 'oral region', 'cavum oris']",CL,Cell Ontology,2017-04-14,False,http://purl.obolibrary.org/obo/UBERON_0000165
mouth,mouth,"['The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening. In vertebrates, this extends to the pharynx and includes gums, lips, tongue and parts of the palate. Typically also includes the teeth, except where these occur elsewhere (e.g. pharyngeal jaws) or protrude from the mouth (tusks).']",NA,OBI,Ontology for Biomedical Investigations,2017-03-21,False,http://purl.obolibrary.org/obo/UBERON_0000165
mouth,mouth,"['The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening. In vertebrates, this extends to the pharynx and includes gums, lips, tongue and parts of the palate. Typically also includes the teeth, except where these occur elsewhere (e.g. pharyngeal jaws) or protrude from the mouth (tusks).']","['regio oralis', 'adult mouth', 'stoma', 'cavitas oris', 'rima oris', 'cavital oralis', 'stomatodaeum', 'trophic apparatus', 'oral vestibule', 'vestibule of mouth', 'vestibulum oris', 'mouth cavity', 'oral region', 'cavum oris']",NIFSTD,Neuroscience Information Framework (NIF) Standard Ontology,2016-02-13,False,http://purl.obolibrary.org/obo/UBERON_0000165
mouth,Mouth,NA,NA,RH-MESH,Robert Hoehndorf Version of MeSH,2014-04-21,True,http://phenomebrowser.net/ontologies/mesh/mesh.owl#A01.456.505.631
mouth,Mouth,NA,NA,RH-MESH,Robert Hoehndorf Version of MeSH,2014-04-21,True,http://phenomebrowser.net/ontologies/mesh/mesh.owl#A14.549
mouth,Mouth,NA,NA,RH-MESH,Robert Hoehndorf Version of MeSH,2014-04-21,True,http://phenomebrowser.net/ontologies/mesh/mesh.owl#A03.556.500
mouth,Mouth,NA,NA,RH-MESH,Robert Hoehndorf Version of MeSH,2014-04-21,False,http://phenomebrowser.net/ontologies/mesh/mesh.owl#D009055
mouth,mouth,NA,NA,TAO,Teleost Anatomy Ontology,2013-08-22,True,http://purl.obolibrary.org/obo/TAO_0000547
mouth,Mouth,NA,NA,SWEET,Semantic Web for Earth and Environment Technology Ontology,2012-09-24,False,http://sweet.jpl.nasa.gov/2.3/realmHydroBody.owl#Mouth
mouth,Mouth,NA,NA,GALEN,Galen Ontology,2007-01-16,False,http://www.co-ode.org/ontologies/galen#Mouth
mouth,mouth,"['AO notes: in FMA, the tongue, palate etc are part of the mouth which is itself a subdivision of the face.']",NA,CCONT,Cell Culture Ontology,2014-07-23,False,http://purl.obolibrary.org/obo/UBERON_0000165
mouth,mouth,"['The proximal portion of the digestive tract, containing the oral cavity and bounded by the oral opening. In vertebrates, this extends to the pharynx and includes gums, lips, tongue and parts of the palate. Typically also includes the teeth, except where these occur elsewhere (e.g. pharyngeal jaws) or protrude from the mouth (tusks).']","['regio oralis', 'adult mouth', 'stoma', 'cavitas oris', 'rima oris', 'cavital oralis', 'stomatodaeum', 'trophic apparatus', 'oral vestibule', 'vestibule of mouth', 'vestibulum oris', 'mouth cavity', 'oral region', 'cavum oris']",NBO,Neuro Behavior Ontology,2014-12-05,False,http://purl.obolibrary.org/obo/UBERON_0000165
mouth,MOUTH,NA,NA,DERMLEX,Dermatology Lexicon,2009-04-17,True,http://www.owl-ontologies.com/unnamed.owl#RID13474
mouth,mouth,"['Cavity in which food is initially ingested and generally contains teeth, tongue and glands.']",NA,XAO,Xenopus Anatomy and Development Ontology,2017-01-14,True,http://purl.obolibrary.org/obo/XAO_0003029
mouth,Mouth,NA,NA,CSEO,Cigarette Smoke Exposure Ontology,2014-07-10,False,http://scai.fraunhofer.de/CSEO#CSEO_00001195
mouth,Mouth,NA,NA,BIOMODELS,BioModels Ontology,2012-04-03,False,http://purl.org/obo/owlapi/fma#FMA_49184
mouth,Mouth,NA,NA,MCCL,Cell Line Ontology [by Mahadevan],2014-08-04,True,http://www.semanticweb.org/pallabi.d/ontologies/2014/2/untitled-ontology-11#Mouth
mouth,mouth,"['The mouth is the first portion of the alimentary canal that receives food and saliva.[1] The oral mucosa is the mucous membrane epithelium lining the inside of the mouth.\n\nIn addition to its primary role as the beginning of the digestive system, in humans the mouth also plays a significant role in communication. While primary aspects of the voice are produced in the throat, the tongue, lips, and jaw are also needed to produce the range of sounds included in human language. Another non-digestive function of the mouth is its role in secondary social and/or sexual activity, such as kissing.\n\nThe mouth, normally moist, is lined with a mucous membrane, and contains the teeth. The lips mark the transition from mucous membrane to skin, which covers most of the body.\n\nsource: http://en.wikipedia.org/wiki/Mouth']",NA,HUPSON,Human Physiology Simulation Ontology,2014-04-07,False,http://sig.uw.edu/fma#Mouth
mouth,Mouth,NA,NA,ESSO,Epilepsy Syndrome Seizure Ontology,2015-11-10,False,http://www.semanticweb.org/rjyy/ontologies/2015/5/ESSO#Mouth
mouth,Mouth,NA,NA,MEO,Metagenome and Microbes Environmental Ontology,2014-02-01,False,http://purl.jp/bio/11/meo/MEO_0000472
mouth,mouth,NA,NA,MEO,Metagenome and Microbes Environmental Ontology,2014-02-01,False,http://purl.jp/bio/11/meo/MEO_0000032
mouth,Mouth,NA,NA,AURA,KB_Bio_101,2014-01-21,False,http://www.projecthalo.com/aura#Mouth
